X1,X2,X3,Y,Nor _X1,Nor_X2,Nor_X3,Nor_Y,epoch:1,EPOCH:2
8792.7,8496.36,8206.16,8863.34,0.528490083,0.488351492,0.449044551,0.538058113,0.528832255,0.528862439
8863.34,8792.7,8496.36,9218.63,0.538058113,0.528490083,0.488351492,0.586181348,0.576490686,0.576502859
9218.63,8863.34,8792.7,9588.46,0.586181348,0.538058113,0.528490083,0.636273995,0.627477372,0.627491522
9588.46,9218.63,8863.34,9574.11,0.636273995,0.586181348,0.538058113,0.634330319,0.628303416,0.628397427
9574.11,9588.46,9218.63,9603.73,0.634330319,0.636273995,0.586181348,0.638342282,0.628700309,0.628828061
9603.73,9574.11,9588.46,10000.17,0.638342282,0.634330319,0.636273995,0.692039193,0.682383471,0.682404368
10000.17,9603.73,9574.11,10304.72,0.692039193,0.638342282,0.634330319,0.733289809,0.722914669,0.722929676
10304.72,10000.17,9603.73,10079.2,0.733289809,0.692039193,0.638342282,0.70274363,0.714593249,0.714636172
10079.2,10304.72,10000.17,9638.17,0.70274363,0.733289809,0.692039193,0.643007103,0.652677498,0.652684547
9638.17,10079.2,10304.72,9499.42,0.643007103,0.70274363,0.733289809,0.624213726,0.634517211,0.634497016
9499.42,9638.17,10079.2,9098.48,0.624213726,0.643007103,0.70274363,0.5699073,0.579262849,0.57925084
9098.48,9499.42,9638.17,8698.88,0.5699073,0.624213726,0.643007103,0.515782373,0.523526485,0.523509587
8698.88,9098.48,9499.42,8315.67,0.515782373,0.5699073,0.624213726,0.463877436,0.473338688,0.473320138
8315.67,8698.88,9098.48,7964.95,0.463877436,0.515782373,0.5699073,0.416373197,0.425796383,0.425774568
7964.95,8315.67,8698.88,7709.95,0.416373197,0.463877436,0.515782373,0.381834017,0.392299491,0.392269816
7709.95,7964.95,8315.67,7853.26,0.381834017,0.416373197,0.463877436,0.401245036,0.39128407,0.391170279
7853.26,7709.95,7964.95,8084.37,0.401245036,0.381834017,0.416373197,0.432548368,0.422484293,0.422452823
8084.37,7853.26,7709.95,7770.52,0.432548368,0.401245036,0.381834017,0.390038088,0.398004608,0.398003054
7770.52,8084.37,7853.26,7596.87,0.390038088,0.432548368,0.401245036,0.366517584,0.376992376,0.376978979
7596.87,7770.52,8084.37,8052,0.366517584,0.390038088,0.432548368,0.428163924,0.418522388,0.418515699
8052,7596.87,7770.52,7821.18,0.428163924,0.366517584,0.390038088,0.396899872,0.406380118,0.406399732
7821.18,8052,7596.87,7614.71,0.396899872,0.428163924,0.366517584,0.368933972,0.378339053,0.378332759
7614.71,7821.18,8052,7785.05,0.368933972,0.396899872,0.428163924,0.392006144,0.381488364,0.381479155
7785.05,7614.71,7821.18,7593.3,0.392006144,0.368933972,0.396899872,0.366034035,0.375170119,0.375169142
7593.3,7785.05,7614.71,7244.55,0.366034035,0.392006144,0.368933972,0.318796628,0.328897049,0.328889652
7244.55,7593.3,7785.05,6939.64,0.318796628,0.366034035,0.392006144,0.27749725,0.28911233,0.289101443
6939.64,7244.55,7593.3,7123.5,0.27749725,0.318796628,0.366034035,0.302400676,0.290787748,0.290723915
7123.5,6939.64,7244.55,7202.96,0.302400676,0.27749725,0.318796628,0.313163355,0.303280939,0.303250405
7202.96,7123.5,6939.64,7512.91,0.313163355,0.302400676,0.27749725,0.35514539,0.344721615,0.344713186
7512.91,7202.96,7123.5,7235.91,0.35514539,0.313163355,0.302400676,0.317626359,0.328464537,0.328486032
7235.91,7512.91,7202.96,6953.64,0.317626359,0.35514539,0.313163355,0.279393519,0.29044973,0.290447439
6953.64,7235.91,7512.91,7031.55,0.279393519,0.317626359,0.35514539,0.289946254,0.290103781,0.290074325
7031.55,6953.64,7235.91,7101.83,0.289946254,0.279393519,0.317626359,0.299465523,0.289979803,0.28993813
7101.83,7031.55,6953.64,6997.33,0.299465523,0.289946254,0.279393519,0.285311232,0.289883588,0.289834952
6997.33,7101.83,7031.55,7163.75,0.285311232,0.299465523,0.289946254,0.307852449,0.297949752,0.297916856
7163.75,6997.33,7101.83,7276.65,0.307852449,0.285311232,0.299465523,0.323144501,0.312495216,0.312493218
7276.65,7163.75,6997.33,7145.75,0.323144501,0.307852449,0.285311232,0.305414389,0.312663993,0.3126758
7145.75,7276.65,7163.75,7104.65,0.305414389,0.323144501,0.307852449,0.299847486,0.31007739,0.310081379
7104.65,7145.75,7276.65,6833.6,0.299847486,0.305414389,0.323144501,0.26313437,0.274931634,0.27493225
6833.6,7104.65,7145.75,6887.94,0.26313437,0.299847486,0.305414389,0.270494601,0.27426006,0.274211591
6887.94,6833.6,7104.65,6899.59,0.270494601,0.26313437,0.299847486,0.272072567,0.274302102,0.274253982
6899.59,6887.94,6833.6,7097.52,0.272072567,0.270494601,0.26313437,0.298881743,0.287272608,0.287241033
7097.52,6899.59,6887.94,7183.25,0.298881743,0.272072567,0.270494601,0.31049368,0.300324387,0.300325381
7183.25,7097.52,6899.59,7384.98,0.31049368,0.298881743,0.272072567,0.337817557,0.327866147,0.327871787
7384.98,7183.25,7097.52,7367.7,0.337817557,0.31049368,0.298881743,0.33547702,0.32849586,0.328550537
7367.7,7384.98,7183.25,7497.66,0.33547702,0.337817557,0.31049368,0.353079811,0.343567675,0.343593121
7497.66,7367.7,7384.98,7284.08,0.353079811,0.33547702,0.337817557,0.324150878,0.333865796,0.333895024
7284.08,7497.66,7367.7,7411.33,0.324150878,0.353079811,0.33547702,0.341386606,0.333412041,0.333407335
7411.33,7284.08,7497.66,7315.59,0.341386606,0.324150878,0.353079811,0.328418837,0.33377087,0.333792415
7315.59,7411.33,7284.08,7437.79,0.328418837,0.341386606,0.324150878,0.344970554,0.33581222,0.335806315
7437.79,7315.59,7411.33,7348.37,0.344970554,0.328418837,0.341386606,0.332858815,0.336178219,0.336200019
7348.37,7437.79,7315.59,7413.93,0.332858815,0.344970554,0.328418837,0.34173877,0.335916948,0.335919334
7413.93,7348.37,7437.79,7300.09,0.34173877,0.332858815,0.344970554,0.326319397,0.336157325,0.336177789
7300.09,7413.93,7348.37,6984.22,0.326319397,0.34173877,0.332858815,0.283535512,0.295042655,0.295041969
6984.22,7300.09,7413.93,7035.38,0.283535512,0.326319397,0.34173877,0.290465019,0.294426442,0.294379501
7035.38,6984.22,7300.09,6942.56,0.290465019,0.283535512,0.326319397,0.277892758,0.288952918,0.288918369
